timestamp,open,high,low,close,volume,date_only,regime_id,trend_20d,atr_z,fm,fs_orb,fs_fast
2025-09-26 09:00:00,70026.29920194186,70065.31563349317,69984.29545961262,70026.29920194186,29054,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:01:00,69901.30654747054,69926.0371372383,69892.39540235039,69901.30654747054,5086,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:02:00,70055.28665621525,70062.51960511036,70039.04070003443,70055.28665621525,13944,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:03:00,70087.0766344734,70098.51363434874,70070.18190976186,70087.0766344734,14539,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:04:00,70103.42229953488,70126.56989531279,70076.8400893956,70103.42229953488,23832,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:05:00,70078.80386355244,70113.90306209236,70070.8765252528,70078.80386355244,123034,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:06:00,70154.18839462163,70172.39252269824,70108.41977604078,70154.18839462163,28820,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:07:00,70218.83411755807,70262.63139179412,70184.47618405166,70218.83411755807,39145,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:08:00,70337.22073165876,70350.15577895682,70299.0588786333,70337.22073165876,4780,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:09:00,70407.79053420153,70464.5000554482,70390.34420185634,70407.79053420153,21045,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:10:00,70450.1216983894,70479.25359727959,70435.62040662594,70450.1216983894,6012,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:11:00,70455.60804856694,70487.84838460675,70412.90611882765,70455.60804856694,67239,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:12:00,70541.88687382122,70643.65084454091,70519.5643643191,70541.88687382122,9650,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:13:00,70574.86794107498,70611.7664385076,70525.85448488247,70574.86794107498,7375,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:14:00,70541.0212017542,70585.15032802495,70539.3444400913,70541.0212017542,241291,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:15:00,70596.46956778952,70640.92734946338,70587.17152450288,70596.46956778952,22124,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:16:00,70606.32233567,70619.44999096484,70564.92631563281,70606.32233567,8963,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:17:00,70554.69614246926,70559.45106972696,70513.4483537121,70554.69614246926,8911,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:18:00,70535.70796905279,70538.58935313232,70525.67083940709,70535.70796905279,33279,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:19:00,70599.2622490247,70626.37857325422,70568.12312351419,70599.2622490247,11463,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:20:00,70628.18714833166,70641.8481658787,70591.7731748895,70628.18714833166,14726,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:21:00,70601.0510354003,70613.52509936754,70584.28327697895,70601.0510354003,22277,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:22:00,70507.60953029674,70546.31894740928,70487.68917960131,70507.60953029674,25762,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:23:00,70490.76002454161,70522.14890985844,70463.35963420317,70490.76002454161,11705,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:24:00,70425.09207739215,70467.82885802888,70381.67846688282,70425.09207739215,130326,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:25:00,70351.28752323083,70361.8653442034,70344.27354836505,70351.28752323083,18272,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:26:00,70334.13661425696,70373.40625139869,70311.0511974921,70334.13661425696,10592,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:27:00,70387.234968797,70387.5296683942,70346.8827876058,70387.234968797,31187,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:28:00,70461.69013812838,70533.35956552684,70420.30722978308,70461.69013812838,4650,2025-09-26,UNKNOWN,,,,0.0,0.0
2025-09-26 09:29:00,70467.61652519637,70485.0921719792,70445.26834557648,70467.61652519637,21731,2025-09-26,UNKNOWN,,,,0.0,0.0
