close,volume,high,low,date
1.0017775118506287,1000,1.0027792893624792,1.000775734338778,2024-01-01 00:00:00
1.0028220921213957,1000,1.003824914213517,1.0018192700292743,2024-01-01 00:01:00
1.0048071030052326,1000,1.0058119101082377,1.0038022959022272,2024-01-01 00:02:00
1.001310257363745,1000,1.0023115676211085,1.000308947106381,2024-01-01 00:03:00
1.003242188921408,1000,1.0042454311103293,1.0022389467324866,2024-01-01 00:04:00
1.0027180429861782,1000,1.0037207610291643,1.001715324943192,2024-01-01 00:05:00
1.0061148776973692,1000,1.0071209925750664,1.0051087628196718,2024-01-01 00:06:00
1.006605988936096,1000,1.007612594925032,1.00559938294716,2024-01-01 00:07:00
1.0052404638817105,1000,1.0062457043455921,1.004235223417829,2024-01-01 00:08:00
1.0041060378395426,1000,1.005110143877382,1.003101931801703,2024-01-01 00:09:00
1.0093588830103732,1000,1.0103682418933835,1.0083495241273628,2024-01-01 00:10:00
1.008846171976403,1000,1.0098550181483794,1.0078373258044266,2024-01-01 00:11:00
1.0114242708290362,1000,1.0124356950998652,1.0104128465582072,2024-01-01 00:12:00
1.0124590911960363,1000,1.0134715502872322,1.0114466321048403,2024-01-01 00:13:00
1.0118216926562567,1000,1.0128335143489129,1.0108098709636004,2024-01-01 00:14:00
1.0107721767553786,1000,1.0117829489321337,1.0097614045786232,2024-01-01 00:15:00
1.013219314655934,1000,1.01423253397059,1.0122060953412781,2024-01-01 00:16:00
1.0122531025162425,1000,1.0132653556187585,1.0112408494137262,2024-01-01 00:17:00
1.0123013832472507,1000,1.0133136846304978,1.0112890818640035,2024-01-01 00:18:00
1.0084234987919196,1000,1.0094319222907113,1.0074150752931277,2024-01-01 00:19:00
1.0055568328029687,1000,1.0065623896357716,1.0045512759701658,2024-01-01 00:20:00
1.004413025715634,1000,1.0054174387413497,1.0034086126899184,2024-01-01 00:21:00
1.0059528607795494,1000,1.006958813640329,1.0049469079187698,2024-01-01 00:22:00
1.0072291037469638,1000,1.0082363328507107,1.0062218746432168,2024-01-01 00:23:00
1.0056053416986832,1000,1.0066109470403817,1.0045997363569845,2024-01-01 00:24:00
1.0056692316706222,1000,1.0066749009022926,1.0046635624389515,2024-01-01 00:25:00
